Ketoconazole DILI = 0.2215, Ames = 0.1279, hERG = 0.9113, CYP3A4 = 0.9224, Teratogenicity = 0.1988
Cefixime DILI = 0.9105, Ames = 0.1341, hERG = 0.0447, CYP3A4 = 0.0205, Teratogenicity = 0.6407
Vancomycin DILI = 0.8130, Ames = 0.3488, hERG = 0.5928, CYP3A4 = 0.2664, Teratogenicity = 0.5004
Isoniazid DILI = 0.6484, Ames = 0.6931, hERG = 0.0246, CYP3A4 = 0.2091, Teratogenicity = 0.4556
Nevirapine DILI = 0.9846, Ames = 0.8783, hERG = 0.1092, CYP3A4 = 0.3768, Teratogenicity = 0.2129
Efavirenz DILI = 0.8019, Ames = 0.3920, hERG = 0.7030, CYP3A4 = 0.7145, Teratogenicity = 0.7513
Zidovudine DILI = 0.9724, Ames = 0.7920, hERG = 0.0357, CYP3A4 = 0.0064, Teratogenicity = 0.7775
Lamivudine DILI = 0.9400, Ames = 0.2004, hERG = 0.0180, CYP3A4 = 0.0152, Teratogenicity = 0.4626
Allopurinol DILI = 0.9739, Ames = 0.7310, hERG = 0.0404, CYP3A4 = 0.1969, Teratogenicity = 0.3497
Colchicine DILI = 0.9142, Ames = 0.4565, hERG = 0.1012, CYP3A4 = 0.7730, Teratogenicity = 0.5608
Prednisone DILI = 0.1298, Ames = 0.0310, hERG = 0.1068, CYP3A4 = 0.2667, Teratogenicity = 0.8393
Estradiol DILI = 0.0970, Ames = 0.1000, hERG = 0.3180, CYP3A4 = 0.1034, Teratogenicity = 0.7780
Progesterone DILI = 0.1195, Ames = 0.0768, hERG = 0.2985, CYP3A4 = 0.1613, Teratogenicity = 0.8175
Testosterone DILI = 0.5647, Ames = 0.1439, hERG = 0.1276, CYP3A4 = 0.1011, Teratogenicity = 0.8615
Finasteride DILI = 0.2137, Ames = 0.0732, hERG = 0.1435, CYP3A4 = 0.3792, Teratogenicity = 0.5689
Sildenafil DILI = 0.9886, Ames = 0.4610, hERG = 0.1888, CYP3A4 = 0.5252, Teratogenicity = 0.4138
Tadalafil DILI = 0.7566, Ames = 0.7884, hERG = 0.1672, CYP3A4 = 0.7482, Teratogenicity = 0.7583
Oxybutynin DILI = 0.0282, Ames = 0.0397, hERG = 0.7075, CYP3A4 = 0.5837, Teratogenicity = 0.4825
Tamsulosin DILI = 0.9233, Ames = 0.1110, hERG = 0.3159, CYP3A4 = 0.6027, Teratogenicity = 0.1924
