Amiodarone_156 DILI = 0.4693, Ames = 0.0673, hERG = 0.9418, CYP3A4 = 0.2593, Teratogenicity = 0.3459
Digoxin_157 DILI = 0.1698, Ames = 0.0289, hERG = 0.1878, CYP3A4 = 0.2521, Teratogenicity = 0.8397
Warfarin_158 DILI = 0.7975, Ames = 0.0560, hERG = 0.2154, CYP3A4 = 0.4754, Teratogenicity = 0.3716
Clopidogrel_159 DILI = 0.1729, Ames = 0.0363, hERG = 0.3420, CYP3A4 = 0.2404, Teratogenicity = 0.3312
Atorvastatin_160 DILI = 0.7074, Ames = 0.0088, hERG = 0.2380, CYP3A4 = 0.4748, Teratogenicity = 0.9084
Rosuvastatin_161 DILI = 0.7227, Ames = 0.0048, hERG = 0.0326, CYP3A4 = 0.2778, Teratogenicity = 0.6460
Simvastatin_162 DILI = 0.1139, Ames = 0.0427, hERG = 0.4803, CYP3A4 = 0.9765, Teratogenicity = 0.8199
Pravastatin_163 DILI = 0.2786, Ames = 0.0186, hERG = 0.0316, CYP3A4 = 0.5601, Teratogenicity = 0.7598
Ezetimibe_164 DILI = 0.6739, Ames = 0.0271, hERG = 0.7369, CYP3A4 = 0.7674, Teratogenicity = 0.6444
Fenofibrate_165 DILI = 0.5976, Ames = 0.0221, hERG = 0.6548, CYP3A4 = 0.5751, Teratogenicity = 0.4989
Metformin_166 DILI = 0.0888, Ames = 0.4066, hERG = 0.0170, CYP3A4 = 0.0089, Teratogenicity = 0.5241
Gliclazide_167 DILI = 0.9398, Ames = 0.0296, hERG = 0.2069, CYP3A4 = 0.3487, Teratogenicity = 0.8666
Glimepiride_168 DILI = 0.9342, Ames = 0.0300, hERG = 0.2599, CYP3A4 = 0.3506, Teratogenicity = 0.8564
Sitagliptin_169 DILI = 0.5765, Ames = 0.0111, hERG = 0.1709, CYP3A4 = 0.7204, Teratogenicity = 0.7781
Empagliflozin_170 DILI = 0.7615, Ames = 0.1164, hERG = 0.2669, CYP3A4 = 0.4540, Teratogenicity = 0.3713
Dapagliflozin_171 DILI = 0.7445, Ames = 0.0614, hERG = 0.1238, CYP3A4 = 0.3632, Teratogenicity = 0.5107
Pioglitazone_172 DILI = 0.7644, Ames = 0.0328, hERG = 0.6561, CYP3A4 = 0.8647, Teratogenicity = 0.3393
Omeprazole_173 DILI = 0.8770, Ames = 0.4288, hERG = 0.7014, CYP3A4 = 0.9361, Teratogenicity = 0.1813
Pantoprazole_174 DILI = 0.9457, Ames = 0.1345, hERG = 0.3550, CYP3A4 = 0.8997, Teratogenicity = 0.1217
Esomeprazole_175 DILI = 0.8968, Ames = 0.1725, hERG = 0.4412, CYP3A4 = 0.9286, Teratogenicity = 0.1384
Ranitidine_176 DILI = 0.5911, Ames = 0.3085, hERG = 0.1138, CYP3A4 = 0.1322, Teratogenicity = 0.4192
Lansoprazole_177 DILI = 0.7897, Ames = 0.0756, hERG = 0.8396, CYP3A4 = 0.9551, Teratogenicity = 0.3698
Metoclopramide_179 DILI = 0.1787, Ames = 0.4755, hERG = 0.8927, CYP3A4 = 0.3572, Teratogenicity = 0.5232
Ondansetron_180 DILI = 0.3568, Ames = 0.2203, hERG = 0.9652, CYP3A4 = 0.8119, Teratogenicity = 0.3119
Loperamide_181 DILI = 0.1086, Ames = 0.0358, hERG = 0.9398, CYP3A4 = 0.6943, Teratogenicity = 0.2703
Mesalazine_182 DILI = 0.4779, Ames = 0.3345, hERG = 0.0008, CYP3A4 = 0.0090, Teratogenicity = 0.6052
